ts_event,open,high,low,close,volume
2025-04-08 00:00:00+00:00,17763.75,18357.25,16876.5,16994.0,952496
2025-04-09 00:00:00+00:00,16995.5,19386.75,16735.0,19313.5,1043616
2025-04-10 00:00:00+00:00,19312.25,19336.0,17919.0,18357.0,952337
2025-04-11 00:00:00+00:00,18352.75,18873.5,18067.0,18820.5,647190
2025-04-13 00:00:00+00:00,19225.0,19250.0,18931.5,19013.25,25899
2025-04-14 00:00:00+00:00,19011.5,19256.0,18737.5,18850.75,548134
2025-04-15 00:00:00+00:00,18849.5,19144.75,18692.75,18729.0,528636
2025-04-16 00:00:00+00:00,18728.25,18861.25,18116.25,18402.0,669400
2025-04-17 00:00:00+00:00,18403.5,18652.75,18261.5,18427.75,610473
2025-04-20 00:00:00+00:00,18306.25,18383.5,18231.25,18314.75,8229
2025-04-21 00:00:00+00:00,18313.25,18378.25,17700.0,18003.5,476286
2025-04-22 00:00:00+00:00,18003.5,18802.75,17946.25,18760.75,630189
2025-04-23 00:00:00+00:00,18761.75,19165.5,18623.75,18839.5,703551
2025-04-24 00:00:00+00:00,18840.0,19435.5,18594.75,19412.5,591433
2025-04-25 00:00:00+00:00,19412.75,19589.0,19216.25,19554.75,568781
2025-04-27 00:00:00+00:00,19524.5,19524.5,19435.25,19454.75,9928
2025-04-28 00:00:00+00:00,19457.0,19623.0,19257.25,19528.5,504585
2025-04-29 00:00:00+00:00,19528.25,19688.5,19378.0,19563.0,560770
2025-04-30 00:00:00+00:00,19562.5,19936.0,19103.75,19917.25,718159
2025-05-01 00:00:00+00:00,19917.75,20125.75,19749.5,19789.5,570506
2025-05-02 00:00:00+00:00,19790.0,20276.75,19755.0,20204.5,499240
2025-05-04 00:00:00+00:00,20181.5,20201.75,20052.5,20085.0,13046
2025-05-05 00:00:00+00:00,20084.75,20191.5,19966.0,20008.25,400684
2025-05-06 00:00:00+00:00,20008.75,20133.75,19739.0,20068.0,530774
2025-05-07 00:00:00+00:00,20067.25,20108.0,19678.75,19953.0,566782
2025-05-08 00:00:00+00:00,19952.75,20337.25,19925.5,20139.25,560774
2025-05-09 00:00:00+00:00,20138.25,20288.75,20058.0,20146.5,438163
2025-05-11 00:00:00+00:00,20398.5,20503.25,20376.75,20453.5,20537
2025-05-12 00:00:00+00:00,20452.25,20996.0,20441.0,20908.75,613256
2025-05-13 00:00:00+00:00,20908.5,21346.5,20818.0,21292.5,516372
2025-05-14 00:00:00+00:00,21292.25,21419.5,21238.25,21375.25,503960
2025-05-15 00:00:00+00:00,21375.5,21529.75,21192.0,21414.25,532915
2025-05-16 00:00:00+00:00,21415.0,21512.0,21320.25,21400.25,400829
2025-05-18 00:00:00+00:00,21310.75,21418.0,21283.75,21381.25,18341
2025-05-19 00:00:00+00:00,21381.75,21562.0,21112.5,21539.25,496007
2025-05-20 00:00:00+00:00,21539.0,21562.25,21298.0,21431.5,431946
2025-05-21 00:00:00+00:00,21431.75,21558.5,21072.75,21145.75,597769
2025-05-22 00:00:00+00:00,21147.5,21337.5,21040.0,21178.75,507713
2025-05-23 00:00:00+00:00,21179.25,21231.0,20727.0,20953.25,510290
2025-05-25 00:00:00+00:00,20978.0,21229.25,20954.25,21188.75,16948
2025-05-26 00:00:00+00:00,21187.5,21307.75,21168.0,21235.25,79675
2025-05-27 00:00:00+00:00,21236.25,21488.5,21141.5,21470.75,435915
2025-05-28 00:00:00+00:00,21470.25,21777.0,21321.25,21766.25,444670
2025-05-29 00:00:00+00:00,21766.5,21858.75,21301.0,21317.0,533884
2025-05-30 00:00:00+00:00,21317.25,21433.5,21071.5,21369.0,531098
2025-06-01 00:00:00+00:00,21303.75,21348.5,21277.0,21304.75,10636
2025-06-02 00:00:00+00:00,21304.75,21576.25,21163.0,21494.25,428805
2025-06-03 00:00:00+00:00,21495.0,21759.75,21399.25,21705.0,414678
2025-06-04 00:00:00+00:00,21705.25,21803.0,21641.0,21741.0,395858
2025-06-05 00:00:00+00:00,21742.0,21935.0,21471.0,21545.5,586036
2025-06-06 00:00:00+00:00,21545.25,21873.5,21544.0,21809.5,448799
2025-06-08 00:00:00+00:00,21799.25,21820.75,21726.0,21762.0,10468
2025-06-09 00:00:00+00:00,21763.5,21890.75,21716.0,21832.5,344542
2025-06-10 00:00:00+00:00,21833.0,22002.75,21732.0,21953.75,434000
2025-06-11 00:00:00+00:00,21954.0,22106.0,21790.75,21837.75,507372
2025-06-12 00:00:00+00:00,21838.75,21977.25,21713.25,21786.75,378904
2025-06-13 00:00:00+00:00,21786.0,21854.75,21471.0,21652.0,476334
2025-06-15 00:00:00+00:00,21554.0,21710.0,21501.75,21689.5,9967
2025-06-16 00:00:00+00:00,21687.25,21999.5,21660.0,21790.75,165335
2025-06-17 00:00:00+00:00,21793.25,21910.0,21640.5,21681.0,89211
2025-06-18 00:00:00+00:00,21905.5,22097.75,21882.25,21948.0,434871
